# ops request: type='db'
# SELECT strategy_id AS s, exit_ts AS t, entry_delay_sec AS lag, ROUND(gross_pct,3) AS g, size_sol AS sz, ROUND(net_sol,5) AS net, scaled_out AS sc, substr(mint,1,10) AS mint, substr(lead_wallet,1,10) AS lead FROM copy_trades WHERE status='closed' AND net_sol IS NOT NULL AND strategy_id IN ('copy-hotlead-strict','copy-hotlead-strict-hi','copy-fable-leadcap') ORDER BY exit_ts ASC, id ASC
  s                      | t          | lag | g       | sz  | net      | sc | mint       | lead      
  -----------------------+------------+-----+---------+-----+----------+----+------------+-----------
  copy-hotlead-strict    | 1781620414 | 5   | 106.477 | 0.5 | 0.51739  | 0  | C5QvDK7fjJ | Ex3BcKVGbN
  copy-hotlead-strict    | 1781628437 | 5   | -32.352 | 0.5 | -0.17676 | 0  | JB9DFnMki2 | Ex3BcKVGbN
  copy-hotlead-strict    | 1781630368 | 5   | -42.545 | 0.5 | -0.22773 | 0  | JB9DFnMki2 | Ex3BcKVGbN
  copy-hotlead-strict    | 1781647685 | 5   | -48.217 | 0.5 | -0.25609 | 0  | 8MjDR6KJwm | B6yHBbrfZV
  copy-hotlead-strict    | 1781664772 | 5   | -30.028 | 0.5 | -0.16514 | 0  | ESqwVPKeKj | 6bGiX9mX1s
  copy-hotlead-strict    | 1781665439 | 5   | -32.274 | 0.5 | -0.17637 | 0  | ESqwVPKeKj | 5dU3trzb5u
  copy-hotlead-strict    | 1781671953 | 5   | -35.439 | 0.5 | -0.1922  | 0  | 9n8rpiJqKu | 7TiAUgZdLM
  copy-hotlead-strict    | 1781672874 | 5   | 105.6   | 0.5 | 0.513    | 0  | 9n8rpiJqKu | 5dU3trzb5u
  copy-hotlead-strict    | 1781675060 | 5   | -85.356 | 0.5 | -0.44178 | 0  | Cye8scwmHH | HntvSoXq7C
  copy-hotlead-strict    | 1781676848 | 5   | 732.157 | 0.5 | 3.64578  | 0  | Cye8scwmHH | HntvSoXq7C
  copy-hotlead-strict    | 1781677131 | 5   | -97.283 | 0.5 | -0.50142 | 0  | A8bN4H49gN | 5dU3trzb5u
  copy-hotlead-strict    | 1781679762 | 5   | -93.157 | 0.5 | -0.48079 | 0  | 4GHFjsKfzh | 3iZG5TLva2
  copy-hotlead-strict    | 1781683708 | 5   | 102.441 | 0.5 | 0.4972   | 0  | J4vs69qy5s | 5dU3trzb5u
  copy-hotlead-strict    | 1781684609 | 5   | -34.978 | 0.5 | -0.18989 | 0  | J4vs69qy5s | 9pDr8if5s4
  copy-hotlead-strict    | 1781688220 | 5   | 100.494 | 0.5 | 0.48747  | 0  | 4eepfPXbJi | 3iZG5TLva2
  copy-hotlead-strict    | 1781692494 | 5   | 107.271 | 0.5 | 0.52136  | 0  | 9vYQWVSubo | 3iZG5TLva2
  copy-hotlead-strict    | 1781708693 | 5   | -33.653 | 0.5 | -0.18327 | 0  | 29qGes79jj | Ex3BcKVGbN
  copy-hotlead-strict    | 1781721752 | 5   | -49.589 | 0.5 | -0.26295 | 0  | Ag2tjYzF8J | Ex3BcKVGbN
  copy-hotlead-strict    | 1781726638 | 5   | 101.45  | 0.5 | 0.49225  | 0  | 3DXc8pWHTc | Ex3BcKVGbN
  copy-hotlead-strict    | 1781735648 | 5   | 100.465 | 0.5 | 0.48733  | 0  | 3DXc8pWHTc | BdQjY2iBXu
  copy-hotlead-strict    | 1781752468 | 5   | 102.288 | 0.5 | 0.49644  | 0  | 6oFTtmz3bH | 3iZG5TLva2
  copy-hotlead-strict    | 1781752953 | 5   | -42.844 | 0.5 | -0.22922 | 0  | 6oFTtmz3bH | 5pJ2icRDUh
  copy-hotlead-strict    | 1781752994 | 5   | -98.889 | 0.5 | -0.50944 | 0  | 851JK2La49 | 6bGiX9mX1s
  copy-hotlead-strict    | 1781753353 | 5   | 100.116 | 0.5 | 0.48558  | 0  | 6oFTtmz3bH | 6bGiX9mX1s
  copy-hotlead-strict    | 1781753433 | 5   | -32.123 | 0.5 | -0.17561 | 0  | 6oFTtmz3bH | 5dU3trzb5u
  copy-hotlead-strict    | 1781754245 | 5   | -73.2   | 0.5 | -0.381   | 0  | 6oFTtmz3bH | 5pJ2icRDUh
  copy-hotlead-strict    | 1781754291 | 5   | -46.005 | 0.5 | -0.24503 | 0  | 6oFTtmz3bH | HntvSoXq7C
  copy-hotlead-strict    | 1781771681 | 5   | -30.406 | 0.5 | -0.16703 | 0  | 66QiuTWd8v | 5hYsHp8HWF
  copy-hotlead-strict    | 1781773556 | 5   | 103.668 | 0.5 | 0.50334  | 0  | 56Hy6qVfp1 | B6yHBbrfZV
  copy-hotlead-strict    | 1781777462 | 5   | 102.149 | 0.5 | 0.49575  | 0  | EScSsKzmJG | 7TiAUgZdLM
  copy-hotlead-strict    | 1781778755 | 5   | 102.849 | 0.5 | 0.49924  | 0  | EScSsKzmJG | HntvSoXq7C
  copy-hotlead-strict    | 1781783564 | 5   | -31.251 | 0.5 | -0.17126 | 0  | 96ZbDfTMGC | 572gijC9dn
  copy-hotlead-strict    | 1781785238 | 5   | 115.73  | 0.5 | 0.56365  | 0  | FyGmxqqt6V | DVhwSE98dH
  copy-hotlead-strict    | 1781785869 | 5   | 100.172 | 0.5 | 0.48586  | 0  | 9n8rpiJqKu | 6bGiX9mX1s
  copy-hotlead-strict    | 1781792973 | 5   | -32.62  | 0.5 | -0.1781  | 0  | CeadRfs8Ve | Ex3BcKVGbN
  copy-hotlead-strict    | 1781794007 | 5   | 176.918 | 0.5 | 0.86959  | 0  | GckkAuTAA4 | DVhwSE98dH
  copy-hotlead-strict    | 1781794200 | 5   | -46.566 | 0.5 | -0.24783 | 0  | GckkAuTAA4 | DVhwSE98dH
  copy-hotlead-strict    | 1781794914 | 5   | 106.488 | 0.5 | 0.51744  | 0  | CeadRfs8Ve | BdQjY2iBXu
  copy-hotlead-strict    | 1781799428 | 5   | -80.279 | 0.5 | -0.41639 | 0  | 27doQmgqRp | 57YFGs6GXT
  copy-hotlead-strict    | 1781799988 | 5   | -45.972 | 0.5 | -0.24486 | 0  | 3oQrZeyAp2 | AE7neeVw9N
  copy-hotlead-strict    | 1781802911 | 5   | 104.981 | 0.5 | 0.5099   | 0  | GW637WykoW | 57YFGs6GXT
  copy-hotlead-strict    | 1781803135 | 5   | 123.628 | 0.5 | 0.60314  | 0  | GW637WykoW | 2bVqHKY1ED
  copy-hotlead-strict    | 1781803341 | 5   | 127.43  | 0.5 | 0.62215  | 0  | GW637WykoW | 7TiAUgZdLM
  copy-hotlead-strict    | 1781803698 | 5   | -30.717 | 0.5 | -0.16859 | 0  | GW637WykoW | 5dU3trzb5u
  copy-hotlead-strict    | 1781804310 | 5   | -32.789 | 0.5 | -0.17895 | 0  | GW637WykoW | AE7neeVw9N
  copy-hotlead-strict    | 1781805046 | 5   | -31.023 | 0.5 | -0.17011 | 0  | Eh7V4osWHm | 57YFGs6GXT
  copy-hotlead-strict    | 1781805834 | 5   | 114.97  | 0.5 | 0.55985  | 0  | GW637WykoW | AE7neeVw9N
  copy-hotlead-strict    | 1781805993 | 5   | -31.273 | 0.5 | -0.17136 | 0  | Eh7V4osWHm | 57YFGs6GXT
  copy-hotlead-strict    | 1781809281 | 5   | -40.054 | 0.5 | -0.21527 | 0  | GW637WykoW | 2bVqHKY1ED
  copy-hotlead-strict    | 1781810827 | 5   | 100.806 | 0.5 | 0.48903  | 0  | 8CFynoSkSN | BdQjY2iBXu
  copy-hotlead-strict    | 1781812326 | 5   | 100.931 | 0.5 | 0.48965  | 0  | 8CFynoSkSN | Ex3BcKVGbN
  copy-hotlead-strict    | 1781812901 | 5   | -33.269 | 0.5 | -0.18134 | 0  | 8CFynoSkSN | BdQjY2iBXu
  copy-hotlead-strict    | 1781814887 | 5   | -34.058 | 0.5 | -0.18529 | 0  | 8CFynoSkSN | BdQjY2iBXu
  copy-hotlead-strict    | 1781818983 | 5   | 103.055 | 0.5 | 0.50027  | 0  | 59mw4ivCp9 | BdQjY2iBXu
  copy-hotlead-strict    | 1781821683 | 5   | -32.857 | 0.5 | -0.17929 | 0  | 59mw4ivCp9 | BdQjY2iBXu
  copy-hotlead-strict    | 1781830538 | 5   | -30.738 | 0.5 | -0.16869 | 0  | 7CpoA9gdAV | B6yHBbrfZV
  copy-hotlead-strict    | 1781831894 | 5   | 102.322 | 0.5 | 0.49661  | 0  | Bh4to2KQyU | DVhwSE98dH
  copy-hotlead-strict    | 1781832543 | 5   | -37.815 | 0.5 | -0.20407 | 0  | 69ikWR65Fb | DVhwSE98dH
  copy-hotlead-strict    | 1781835056 | 5   | -39.784 | 0.5 | -0.21392 | 0  | 2ifzrbHmRR | DVhwSE98dH
  copy-hotlead-strict    | 1781836174 | 5   | 102.955 | 0.5 | 0.49978  | 0  | 2ifzrbHmRR | DVhwSE98dH
  copy-hotlead-strict    | 1781837196 | 5   | -63.511 | 0.5 | -0.33256 | 0  | 2SGbksug7g | 2bVqHKY1ED
  copy-hotlead-strict    | 1781837353 | 5   | -32.871 | 0.5 | -0.17935 | 0  | EMNCR4iKCg | 572gijC9dn
  copy-hotlead-strict    | 1781839810 | 5   | -40.602 | 0.5 | -0.21801 | 0  | 2ifzrbHmRR | DVhwSE98dH
  copy-hotlead-strict    | 1781839965 | 5   | -32.394 | 0.5 | -0.17697 | 0  | EMNCR4iKCg | 2bVqHKY1ED
  copy-hotlead-strict    | 1781840864 | 5   | -76.297 | 0.5 | -0.39648 | 0  | Be6dfYaEum | 3iZG5TLva2
  copy-hotlead-strict    | 1781841592 | 5   | -30.79  | 0.5 | -0.16895 | 0  | Be6dfYaEum | 9pDr8if5s4
  copy-hotlead-strict    | 1781842591 | 5   | -37.875 | 0.5 | -0.20437 | 0  | Be6dfYaEum | 5dU3trzb5u
  copy-hotlead-strict    | 1781844554 | 5   | -77.713 | 0.5 | -0.40356 | 0  | Be6dfYaEum | HntvSoXq7C
  copy-hotlead-strict    | 1781866025 | 5   | -92.972 | 0.5 | -0.47986 | 0  | EjhmGVm9AB | 9pDr8if5s4
  copy-hotlead-strict    | 1781868231 | 5   | 197.226 | 0.5 | 0.97113  | 0  | CtNC5wuHcG | 5dU3trzb5u
  copy-hotlead-strict    | 1781868545 | 5   | 103.804 | 0.5 | 0.50402  | 0  | CtNC5wuHcG | 9pDr8if5s4
  copy-hotlead-strict    | 1781869106 | 5   | 100.222 | 0.5 | 0.48611  | 0  | HFhHPt4DNQ | 9pDr8if5s4
  copy-hotlead-strict    | 1781870949 | 5   | -88.079 | 0.5 | -0.4554  | 0  | BndTSuJSqf | HntvSoXq7C
  copy-hotlead-strict    | 1781875455 | 5   | -32.567 | 0.5 | -0.17784 | 0  | BohiYrLdvM | 5hYsHp8HWF
  copy-hotlead-strict    | 1781876698 | 5   | -99.184 | 0.5 | -0.51092 | 0  | HFhHPt4DNQ | HM5iEcL9h1
  copy-hotlead-strict    | 1781880168 | 5   | -43.751 | 0.5 | -0.23375 | 0  | 3BZoxTeEuB | 6bGiX9mX1s
  copy-hotlead-strict    | 1781896430 | 5   | -96.486 | 0.5 | -0.49743 | 0  | ERNxcKwUyv | Ex3BcKVGbN
  copy-hotlead-strict    | 1781925963 | 5   | 233.273 | 0.5 | 1.15137  | 0  | 39iFqCU11w | 2bVqHKY1ED
  copy-hotlead-strict    | 1781926565 | 5   | -32.111 | 0.5 | -0.17555 | 0  | 2Nu6MgBDwr | 7bTsRggGmD
  copy-hotlead-strict    | 1781927738 | 5   | 119.841 | 0.5 | 0.58421  | 0  | 39iFqCU11w | 2bVqHKY1ED
  copy-hotlead-strict    | 1781957600 | 5   | 52.564  | 0.5 | 0.24782  | 0  | 3KGkGNqyKF | AE7neeVw9N
  copy-hotlead-strict    | 1781957606 | 5   | -19.073 | 0.5 | -0.11037 | 0  | USoTGfLizL | 2bVqHKY1ED
  copy-hotlead-strict    | 1781957607 | 5   | 1.18    | 0.5 | -0.0091  | 0  | GW637WykoW | AE7neeVw9N
  copy-hotlead-strict    | 1781957607 | 5   | -20.703 | 0.5 | -0.11852 | 0  | 5YK8Yvv6Vu | 57YFGs6GXT
  copy-hotlead-strict    | 1781957611 | 5   | -0.272  | 0.5 | -0.01636 | 0  | 9ZxLZBTrzp | 8QwYYkzuDw
  copy-hotlead-strict    | 1781957611 | 5   | 50.548  | 0.5 | 0.23774  | 0  | CtNC5wuHcG | AE7neeVw9N
  copy-hotlead-strict    | 1781965491 | 5   | 103.117 | 0.5 | 0.50059  | 0  | C2jMEyZuwV | 5q8osC4CZR
  copy-hotlead-strict    | 1781966294 | 5   | -32.255 | 0.5 | -0.17628 | 0  | GWoFLmCHMg | 7bTsRggGmD
  copy-hotlead-strict    | 1781968550 | 5   | -30.878 | 0.5 | -0.16939 | 0  | 43NZ6oFmct | DcQKToPywy
  copy-hotlead-strict    | 1781970618 | 5   | -37.642 | 0.5 | -0.20321 | 0  | GWoFLmCHMg | 7bTsRggGmD
  copy-hotlead-strict    | 1781971144 | 5   | -48.148 | 0.5 | -0.25574 | 0  | 3zQAx2g7jD | 5q8osC4CZR
  copy-hotlead-strict    | 1781972395 | 5   | -36.128 | 0.5 | -0.19564 | 0  | BmNASdTTgX | 7bTsRggGmD
  copy-hotlead-strict    | 1781975063 | 5   | 113.808 | 0.5 | 0.55404  | 0  | 2fkNCFYbAW | 5q8osC4CZR
  copy-hotlead-strict    | 1781975870 | 5   | 104.131 | 0.5 | 0.50566  | 0  | 49x3fgcezX | 4RDNo5BBAj
  copy-hotlead-strict    | 1781981755 | 5   | 104.368 | 0.5 | 0.50684  | 0  | 2fkNCFYbAW | BZoJp596zy
  copy-hotlead-strict    | 1781984257 | 5   | -30.393 | 0.5 | -0.16696 | 0  | 5z8UyXTzhi | 5q8osC4CZR
  copy-hotlead-strict    | 1781985102 | 5   | -38.674 | 0.5 | -0.20837 | 0  | 5z8UyXTzhi | Ex3BcKVGbN
  copy-hotlead-strict    | 1781986789 | 5   | -32.384 | 0.5 | -0.17692 | 0  | HRzXDUDnd2 | DcQKToPywy
  copy-hotlead-strict    | 1781986985 | 5   | 100.99  | 0.5 | 0.48995  | 0  | 3LTt7o8DnW | 5q8osC4CZR
  copy-hotlead-strict    | 1781987206 | 5   | -3.908  | 0.5 | -0.03454 | 0  | J1yfR2st74 | DcQKToPywy
  copy-hotlead-strict    | 1781990835 | 5   | -45.215 | 0.5 | -0.24108 | 0  | 3LTt7o8DnW | BdQjY2iBXu
  copy-hotlead-strict    | 1781991863 | 5   | 106.45  | 0.5 | 0.51725  | 0  | 9fMPboASdg | 5q8osC4CZR
  copy-hotlead-strict    | 1781991961 | 5   | -30.193 | 0.5 | -0.16596 | 0  | GWoFLmCHMg | 7bTsRggGmD
  copy-hotlead-strict    | 1781993313 | 5   | -30.414 | 0.5 | -0.16707 | 0  | 4BsYbLWnr5 | 4RDNo5BBAj
  copy-hotlead-strict    | 1781995580 | 5   | 109.056 | 0.5 | 0.53028  | 0  | BvmRJMTv4r | 5q8osC4CZR
  copy-hotlead-strict    | 1781996078 | 5   | -32.405 | 0.5 | -0.17703 | 0  | 7pykXUmT2d | BZoJp596zy
  copy-hotlead-strict    | 1781996900 | 5   | 117.976 | 0.5 | 0.57488  | 0  | BvmRJMTv4r | BdQjY2iBXu
  copy-hotlead-strict    | 1781998237 | 5   | 100.828 | 0.5 | 0.48914  | 0  | BXbuTeaCug | 5aXbFCpg5f
  copy-hotlead-strict    | 1782004547 | 5   | -32.64  | 0.5 | -0.1782  | 0  | Hg4dcXKB48 | 7bTsRggGmD
  copy-hotlead-strict    | 1782005076 | 5   | -33.697 | 0.5 | -0.18349 | 0  | GjoXJhj5Vt | 5aXbFCpg5f
  copy-hotlead-strict    | 1782006349 | 5   | -14.697 | 0.5 | -0.08849 | 0  | 2Nu6MgBDwr | 7bTsRggGmD
  copy-hotlead-strict    | 1782007879 | 5   | -32.528 | 0.5 | -0.17764 | 0  | u5t47PKZEt | Ex3BcKVGbN
  copy-hotlead-strict    | 1782009083 | 5   | -50.675 | 0.5 | -0.26837 | 0  | 5gHrDWNnAH | 5wTqTAZSGW
  copy-hotlead-strict    | 1782009233 | 5   | 112.168 | 0.5 | 0.54584  | 0  | 5gHrDWNnAH | 5wTqTAZSGW
  copy-hotlead-strict    | 1782009357 | 5   | -32.316 | 0.5 | -0.17658 | 0  | 5gHrDWNnAH | 5wTqTAZSGW
  copy-hotlead-strict    | 1782010829 | 5   | 103.421 | 0.5 | 0.50211  | 0  | 5gHrDWNnAH | 5wTqTAZSGW
  copy-hotlead-strict    | 1782012230 | 5   | 115.667 | 0.5 | 0.56334  | 0  | 5gHrDWNnAH | 4sRjm252FQ
